Index;Value1;Value2;
0;5;5;
1;5;5;
2;5;5;
3;5;5;
4;5;5;
5;5;5;
6;5;5;
7;10;5;
8;15;5;
9;20;10;
10;25;15;
11;30;20;
12;35;20;
13;40;25;
14;45;30;
15;50;35;
16;55;40;
17;60;45;
18;65;50;
19;70;55;
20;75;60;
21;80;65;
22;85;70;
23;90;75;
24;95;80;
25;100;90;
26;105;95;
27;110;100;
28;115;115;
29;120;115;
30;125;120;
31;135;125;
32;140;130;
33;145;135;
34;150;140;
35;155;145;
36;160;150;
37;165;155;
38;170;160;
39;180;170;
40;185;175;
41;190;180;
42;195;185;
43;200;195;
44;210;200;
45;220;205;
46;225;210;
47;230;220;
48;235;225;
49;240;230;
50;245;235;
51;250;240;
52;255;250;
53;260;255;
54;270;260;
55;275;270;
56;280;275;
57;285;280;
58;295;285;
59;300;290;
60;305;295;
61;310;300;
62;315;305;
63;320;310;
64;325;320;
65;330;325;
66;335;330;
67;340;335;
68;345;340;
69;350;345;
70;360;350;
71;365;355;
72;370;360;
73;375;365;
74;380;370;
75;390;375;
76;395;380;
77;400;385;
78;405;390;
79;410;395;
80;420;400;
81;425;405;
82;430;405;
83;435;410;
84;440;415;
85;450;420;
86;455;425;
87;460;430;
88;470;435;
89;475;445;
90;480;450;
91;485;455;
92;490;465;
93;495;470;
94;495;480;
95;495;485;
96;495;490;
97;495;495;
98;495;495;
99;495;495;
100;495;495;
