Số thứ tự;Liên từ;Dịch nghĩa tiếng Việt;Cách dùng
1;Although;Mặc dù;Although + mệnh đề (chỉ sự nhượng bộ)
2;Because;Bởi vì;Because + mệnh đề (chỉ lý do)
3;Since;Vì;Since + mệnh đề (chỉ lý do)
4;Unless;Trừ khi;Unless + mệnh đề (chỉ điều kiện)
5;When;Khi;When + mệnh đề (chỉ thời gian)
6;While;Trong khi;While + mệnh đề (chỉ thời gian)
7;If;Nếu;If + mệnh đề (chỉ điều kiện)
8;Even though;Mặc dù;Even though + mệnh đề (chỉ sự nhượng bộ)
9;As;Khi;As + mệnh đề (chỉ thời gian)
10;Before;Trước khi;Before + mệnh đề (chỉ thời gian)
11;After;Sau khi;After + mệnh đề (chỉ thời gian)
12;Until;Cho đến khi;Until + mệnh đề (chỉ thời gian)
13;Though;Mặc dù;Though + mệnh đề (chỉ sự nhượng bộ)
14;Once;Khi;Once + mệnh đề (chỉ điều kiện)
15;As long as;Miễn là;As long as + mệnh đề (chỉ điều kiện)
16;Whether;Liệu rằng;Whether + mệnh đề (chỉ lựa chọn)
17;Whereas;Trong khi;Whereas + mệnh đề (chỉ sự tương phản)
18;Provided that;Với điều kiện;Provided that + mệnh đề (chỉ điều kiện)
19;In case;Trong trường hợp;In case + mệnh đề (chỉ điều kiện)
20;In order that;Để;In order that + mệnh đề (chỉ mục đích)
21;So that;Để mà;So that + mệnh đề (chỉ mục đích)
22;As soon as;Ngay khi;As soon as + mệnh đề (chỉ thời gian)
23;By the time;Đến lúc;By the time + mệnh đề (chỉ thời gian)
24;Whenever;Bất cứ khi nào;Whenever + mệnh đề (chỉ thời gian)
25;No matter;Dù thế nào;No matter + câu hỏi (chỉ sự không quan tâm đến lựa chọn)
26;Supposing;Giả sử;Supposing + mệnh đề (chỉ điều kiện)
27;Given that;Vì;Given that + mệnh đề (chỉ điều kiện)
28;Just as;Giống như;Just as + mệnh đề (chỉ thời gian)
29;Even if;Dù cho;Even if + mệnh đề (chỉ điều kiện)
30;Now that;Bây giờ;Now that + mệnh đề (chỉ lý do)
31;Lest;Vì sợ rằng;Lest + mệnh đề (chỉ sự lo sợ)
32;Rather than;Thay vì;Rather than + danh từ/động từ
33;Than;Hơn;Than + mệnh đề (chỉ sự so sánh)
34;In case of;Trong trường hợp;In case of + danh từ (chỉ điều kiện)
35;On condition that;Với điều kiện;On condition that + mệnh đề (chỉ điều kiện)
36;Assuming that;Giả sử;Assuming that + mệnh đề (chỉ điều kiện)
37;So long as;Miễn là;So long as + mệnh đề (chỉ điều kiện)
38;For fear that;Vì sợ rằng;For fear that + mệnh đề (chỉ sự lo sợ)
