STT;Từ Vựng;Dịch nghĩa;;;
1;Counter;Quầy thu ngân;;;
2;Lamppost;Cột đèn;;;
3;Conference;Hội nghị;;;
4;Row;Dòng, hàng;;;
5;Step;Bậc thang, bậc thềm;;;
6;Benche;Băng ghế;;;
7;Fountain;Đài phun nước;;;
8;Sidewalk;Vỉa hè;;;
9;Waterfront;Bờ sông;;;
10;Microscope;Kính hiển vi;;;
11;Scenery;Phong cảnh;;;
12;Reflection;Sự phản chiếu;;;
13;Hallway;Hành lang;;;
14;Receptionist;Nhân viên lễ tân;;;
15;Lecture;Bài giảng;;;
16;Audience;Thính giả;;;
17;Short-sleeved shirt;Áo sơ mi tay ngắn;;;
18;Striped shirt;Áo sơ mi có sọc;;;
19;Headset;Tai nghe;;;
20;Attire;Quần áo, đồ trang điểm;;;
21;Belt;Thắt lưng;;;
22;Necktie;Cà ra vát;;;
23;Sweater;Áo len;;;
24;Knapsack;Ba lô;;;
25;Load of dirt;Đống đất;;;
26;Wheelbarrow;Xe cút kít;;;
27;Ladder;Cái thang;;;
28;Roof;Mái nhà;;;
29;Athlete;Vận động viên;;;
30;Performer;Người biễu diễn;;;
31;Cheek;Má (nằm trên khuôn mặt);;;
32;Orchard;Vườn cây ăn quả;;;
33;Merchandise;Hàng hóa;;;
34;Shelf;Kệ;;;
35;Construction site;Công trường xây dựng;;;
36;Greenhouse;Nhà kính;;;
37;Automobile;Xe hơi;;;
38;Plumbing;Hệ thống ống nước;;;
39;Brick;Gạch;;;
40;Carriage;Toa xe;;;
41;Plate;Dĩa;;;
42;Cupboard;Tủ dựng chén dĩa;;;
43;Entrance;Lối vào;;;
44;Curb;Lề đường;;;
45;Aircraft;Phi cơ;;;
46;Runway;Đường băng (máy bay);;;
47;Water’s edge;Mép nước;;;
48;Staircase;Cầu thang;;;
49;Architecture;Kiến trúc;;;
50;Lighthouse;Ngọn hải đăng;;;
51;Harbor;Bến cảng;;;
52;Balcony;Ban công;;;
53;Fence;Hàng rào;;;
54;Facades;Mặt tiền;;;
55;Material;Vật liệu;;;
56;Concrete;Bê tong;;;
57;Bottle;Chai;;;
58;Showcase;Tủ kính bày hàng;;;
59;Tablecloth;Khăn trải bàn;;;
60;Rug;Tấm thảm;;;
61;Blanket;Chăn;;;
62;Refrigerator;Tủ lạnh;;;
63;Bookcase;Tủ sách;;;
64;Fireplace;Lò sưởi;;;
65;Vase;Cái bình;;;
66;Saucepan;Cái chảo;;;
67;Glassware;Đồ pha lê;;;
68;Utensil;Dụng cụ;;;
69;Rack;Giá đỡ;;;
70;Pot;ấm, bình , lọ, chậu, hủ, nồi;;;
71;Pan;Chảo;;;
72;Chandelier;Đèn chùm;;;
73;Hall;Đại sảnh;;;
74;Log;Khúc gỗ;;;
75;Lawn;Bãi cỏ;;;
76;Crop;Cây trồng;;;
77;Pond;Ao nước;;;
78;Seashore;Bãi biển;;;
79;Harbor;Hải cảng;;;
80;Rough;Gập ghềnh;;;
81;Look through the window;Nhìn qua cửa sổ;;;
82;Look toward the mountains;Nhìn về phía ngọn núi;;;
83;Check a map;Xem bản đồ;;;
84;Check some information;Kiểm tra thông tin;;;
85;Watch the child draw a picture;Xem đứa bé vẽ tranh;;;
86;Inspect an item;Kiểm tra một món đồ;;;
87;Take a photograph;Chụp ảnh;;;
88;Look in the drawer;Nhìn vào trong hộc tủ;;;
89;Look at a display;Nhìn vào màn hình;;;
90;View a statue;Ngắm bức tượng;;;
91;Examine a patient;Kiểm tra/khám bệnh cho một bệnh nhân;;;
92;Read a newspaper;Đọc báo;;;
93;Gaze at / Stare at;Nhìn chằm chằm vào;;;
94;Glance at;Nhìn thoáng qua;;;
95;Talk through the megaphone ;Nói qua một cái loa;;;
96;Have a talk ;Trò chuyện;;;
97;Lead a discussion ;Làm chủ/dẫn một cuộc thảo luận;;;
98;Give/make/deliver a speech;Đọc diễn văn;;;
99;Listen to a lecture ;Nghe giảng bài;;;
100;Use a cell phone ;Dùng điện thoại;;;
101;Address the audience ;Diễn thuyết với khan giả;;;
102;Speak into a microphone ;Nói vào micro;;;
103;Chat in a restaurant ;Trò chuyện trong một nhà hàng;;;
104;Have/Be involved in (a discussion/chat,...);Tham gia vào một cuộc thảo luận;;;
105;Give a lecture ;Giảng bài;;;
106;Talk on a phone ;Nghe điện thoại;;;
107;Make a call ;Gọi điện thoại;;;
108;Call somebody ;Gọi điện cho ai;;;
109;Carry a few parcels;Mang vài gói hàng;;;
110;Move a heavy object;di chuyển một vật nặng;;;
111;Hold a dog;Ôm một con chó;;;
112;Use a hammer;Sử dụng một cái búa;;;
113;Work at the computer;Làm việc với máy tính;;;
114;Work outdoors;Làm việc ngoài trời;;;
115;Repair the pool;Sửa hồ bơi;;;
116;Build a fence;Làm hàng rào;;;
117;Stack the boxes;Xếp hộp;;;
118;Clean the street;Quét đường;;;
119;Sweep the floor;Quét nhà;;;
120;Wearing a striped shirt;Mặc một chiếc áo sọc;;;
121;Have sunglasses on;Mang kính mát;;;
122;Be dressed in a uniform;Mặc đồng phục;;;
123;Remove her hat;Bỏ mũ ra;;;
124;Hold someone’s hand;Nắm tay ai;;;
125;Point at the screen;Chỉ vào màn hình;;;
126;Applaud (the performance);Vỗ tay, hoan nghênh ( một màn trình diễn );;;
127;Touch a statue;Chạm tay vào bức tượng;;;
128;Reach for an item;Tiếp cận, với lấy một món đồ;;;
129;Hold a pen;Cầm viết;;;
130;Carry a box;Mang môt cái hộp;;;
131;Hold a document;Cầm một tài liệu;;;
132;Use laboratory equipment;Sử dụng dụng cụ thí nghiệm;;;
133;Operate heavy machinery;Vận hành một thiết bị nặng;;;
134;Work on the wires;Sửa/kéo dây thép;;;
135;Work on a car;Sửa xe;;;
136;Fix the roof;Sửa mái nhà;;;
137;Construct an outdoor wall;Xây bức tường ngoài;;;
138;Dig the earth;Đào đất;;;
139;Wash the window;Chùi cửa sổ;;;
140;Wearing a glove;Mang bao tay;;;
141;Put on his name tag;Đeo bảng tên;;;
142;Try on a new coat;Thử áo choàng mới;;;
143;Take off her gloves;Tháo bao tay;;;
144;Shake hands;Bắt tay;;;
145;Gesture with one’s hands;Cử chỉ với bàn tay;;;
146;Clap for the athletes;Vỗ tay cho các vận động viên;;;
147;Rest one’s chin on one’s hand;Chống cằm;;;
148;Pick up a book;Chọn một cuốn sách;;;
149;Raise one’s hand;Giơ tay phát biểu;;;
150;Stretch one of her arms;Duỗi một cánh tay;;;
