STT;Từ vựng;Dịch nghĩa;Câu ví dụ;;
2;accountant;kế toán;The accountant carefully reviewed the company's financial statements to ensure accuracy.;;
3;board of directors;ban giám đốc;The board of directors met to discuss the strategic direction of the company.;;
4;division head;trưởng bộ phận;As the division head, she was responsible for overseeing the daily operations of her department.;;
5;executive officer;nhân viên điều hành;The executive officer made critical decisions that shaped the company's future.;;
6;representative;đại diện;The company sent a representative to the international conference to promote its products.;;
7;security officer;nhân viên an ninh;The security officer monitored surveillance cameras to ensure the safety of the premises.;;
8;supervisor;giám sát;The supervisor provided guidance and support to the team to meet project deadlines.;;
9;assistant;trợ lý;The executive assistant scheduled meetings and managed the CEO's calendar.;;
10;chief executive officer (CEO);giám đốc điều hành (CEO);The CEO led the company with a vision for innovation and growth.;;
11;editor;biên tập viên;The editor reviewed the manuscript before it went to print to ensure quality.;;
12;receptionist;lễ tân;The receptionist greeted visitors and provided them with information about the company's location.;;
13;secretary;thư ký;The secretary scheduled appointments for the executives and managed their correspondence.;;
14;senior director;giám đốc cấp cao;The senior director was responsible for overseeing multiple departments and ensuring their collaboration.;;
15;vice president;phó chủ tịch;The vice president of marketing presented the new advertising campaign to the board of directors.;;
17;accounting office;phòng kế toán;The accounting office processed invoices and managed the company's financial records.;;
18;human resources department;bộ phận nhân sự;The human resources department conducted interviews to select new employees for the company.;;
19;payroll department;bộ phận tính lương;The payroll department ensured that employees were paid accurately and on time.;;
20;public relations department;bộ phận quan hệ công chúng;The public relations department organized press conferences to announce the company's latest achievements.;;
21;security;phòng bảo vệ;The security team ensured the safety of the building and monitored access to restricted areas.;;
22;customer service department;bộ phận dịch vụ khách hàng;The customer service department handled inquiries and resolved issues to ensure customer satisfaction.;;
23;personnel department;bộ phận nhân sự;The personnel department is responsible for hiring new employees and managing employee records;;
24;purchasing department;bộ phận mua hàng;The purchasing department is negotiating a contract with a new supplier to get better prices for raw materials.;;
25;overseas division;bộ phận ở nước ngoài;The overseas division is responsible for managing the company's operations in international markets.;;
27;at a law firm;tại một công ty luật;The legal documents are stored in the file cabinet at a law firm.;;
28;in one’s mailroom;trong hộp thư;The package is currently in one's mailroom awaiting delivery.;;
29;in the file cabinet;trong tủ tài liệu;The important contracts are securely stored in the file cabinet.;;
30;on one’s desk;trên bàn của một người;I left the report on your desk for your review.;;
31;at the top of the shelf;ở đầu kệ;The reference books are placed at the top of the shelf for easy access.;;
32;in the drawer;trong ngăn kéo;The office supplies are kept in the drawer for organizational purposes.;;
34;across the street;bên kia đường;The new cafe is located across the street from the office building.;;
35;at the front counter;ở quầy phía trước;You can pick up your package at the front counter.;;
36;from the main office;từ văn phòng chính;The instructions came directly from the main office.;;
37;near the park;gần công viên;Our office is conveniently located near the park for employees to relax.;;
38;on the first floor;ở tầng một;The conference room is on the first floor.;;
39;opposite the building;đối diện tòa nhà;The parking lot is opposite the building.;;
40;straight down to;ngay phía dưới;The restroom is located straight down to the end of the hallway.;;
41;around the corner;ở trong góc, ở rất gần;The IT department is around the corner from the elevator.;;
42;by the front door;gần cửa trước;The receptionist's desk is by the front door for easy access.;;
43;in front of the lobby;trước tiền sảnh;The meeting room is in front of the lobby.;;
44;next to the hotel;bên cạnh khách sạn;The office building is situated next to the hotel.;;
45;on the next corner;ở góc tiếp theo;The cafe on the next corner is a popular spot for lunch.;;
46;over there;ở phía đằng kia;The conference room is over there, on the right.;;
47;to the post office;đến bưu điện;The courier will deliver the package to the post office if you're not available;;
49;already;đã, rồi;I have already sent the report to your email.;;
50;last week;tuần trước;We discussed the project budget last week.;;
51;a week ago;một tuần trước;The client approved the proposal a week ago.;;
52;a couple of days ago;một vài ngày trước;I received your message a couple of days ago.;;
53;now;bây giờ;"I am in a meeting now; can I call you back later?";;
54;for now;cho thời điểm bây giờ;We'll use the current software for now until the new one is installed.;;
55;right now;ngay bây giờ;Can you come to my office right now? I need your input.;;
56;usually/regularly/often;thường xuyên;We usually have team meetings on Mondays.;;
57;soon;sớm;The project will be completed soon.;;
58;in about an hour;trong khoảng một giờ;The manager will be available to meet with you in about an hour.;;
59;sometime next week;vào tuần sau;We plan to launch the new product sometime next week.;;
60;not for another hour;không xảy ra trong một tuần nữa;The conference call is not for another hour.;;
61;any minute;bất kỳ lúc nào;The delivery could arrive any minute now.;;
62;by the end of next week;vào cuối tuần sau;We expect to receive the shipment by the end of next week.;;
64;Not until next week.;Không cho đến tuần sau.;The new policy will not be implemented until next week.;;
65;When the construction is completed.;Khi công trình được hoàn thành.;The office will move to the new building when the construction is completed.;;
66;Right after the presentation is ready.;Ngay sau khi bài thuyết trình đã sẵn sàng.;We will schedule the meeting right after the presentation is ready.;;
67;Later today.;Sau ngày hôm nay.;I will send you the updated report later today.;;
68;Soon, I think.;Tôi nghĩ sẽ sớm thôi.;When will the delivery come? – Soon, I think;;
69;to discuss;để thoả luận;;;
70;to meet with;để gặp;;;
71;for advice;để xin lời khuyên;;;
72;because of a traffic jam;bởi vì tắc đường;;;
73;due to heavy rain;do mưa lớn;;;
74;by e-mail;bằng e-mail;;;
75;in person;trực tiếp;;;
76;by cash/credit card;bằng tiền mặt/ thẻ tín dụng;;;
77;every morning;mỗi sáng;;;
78;once a month;mỗi tháng một lần;;;
79;biannually/annually;mỗi năm 2 lần/ 1 lần;;;
81;for about an hour;khoảng 1 giờ;;;
82;over weeks;khoảng vài tuần;;;
