STT;Từ vựng Part 4 TOEIC;Giải nghĩa tiếng Việt;Ví dụ trong câu;;
1;This is a message for;Đây là tin nhắn đến ….;This is a message for Ms. Rudy in response to her concern about the program for undergraduate;;
2;in response to;để phản hồi cho….;;;
3;I’m calling about/regarding;Tôi gọi đến để nói về ….;I’m calling about the concert ticket we bought yesterday.;;
4;inquire (about);hỏi về…;He inquired about cottages for sale;;
5;please call me back;xin hãy gọi lại cho tôi;Can you please call me back and tell me where your sister keeps it?;;
6;You can reach me at + số điện thoại;Bạn có thể gọi cho tôi vào số…;You can reach me at +84989750214;;
7;return a call;gọi điện lại để trả lời;I’m returning your call regarding the flight reservation.;;
8;feature;đặc trưng, tính năng;This car has excellent safety features;;
9;economical choice;lựa chọn có tính kinh tế;Half portions ordered as starters are an economical choice.;;
10;durable;bền;Porcelain enamel is strong and durable;;
11;come with a three-year warranty;được bảo hành trong 3 năm;All models are backed by Transcend's Three-year Warranty;;
12;on sale;đang được giảm giá;The dress is on sale now;;
13;clearance sale;giảm giá xả kho;Saturday’s clearance sale will reduce old stock and make room for next season’s products which will arrive very soon;;
14;special offer;giá đặc biệt;Our special offer expires on august 7 and is limited to customers in serviceable areas only.;;
15;get a free gift;nhận quà tặng miễn phí;If any of you did not receive your free gift at the door, please make sure to pick it up on your way out.;;
16;visit our Website for…;ghé thăm trang Web để…;Please visit our website to learn more about the innovative and reasonably priced marketing services we offer.;;
17;sign up for;đăng ký;They signed up for a shopping account online.;;
18;Attention, please.;Xin hãy chú ý.;Attention please. This is a special announcement from the main office.;;
19;be canceled;bị huỷ;His visit to North America was canceled;;
20;be delayed;bị hoãn;The train was delayed;;
21;apologize for the inconvenience;xin lỗi cho sự bất tiện;"We do apologize for the inconvenience resulting from the service
which is now temporarily unavailable";;
22;in case of emergency;trong trường hợp khẩn cấp;In case of an emergency, employees must vacate the building as rapidly as possible.;;
23;appreciate one’s cooperation;đánh giá cao sự hợp tác của ai;We appreciate your cooperation in this matter.;;
24;as a reminder;như một lời nhắc nhở;The cold served as a reminder that winter wasn't quite finished.;;
25;captain;cơ trưởng;The captain, together with his crew members, was struggling to control the ship.;;
26;flight;chuyến bay;I got the first flight;;
27;passenger;hành khách;More than 50 passengers escaped injury when a train was derailed;;
28;be stuck in traffic;bị kẹt xe;She has been stuck in traffic all morning.;;
29;take an alternate route;sử dụng tuyến đường thay thế;Last week, local commuters were forced to find alternative routes, due to fallen trees on route 309.;;
30;follow the signs;theo biển chỉ dẫn;We followed the signs and therefore make it to the destination on time;;
31;take the highway/freeway;đi đường cao tốc;All commuters using the main highway to get to the center of the city will face delays of up to an hour today because of on-going construction;;
32;detour;đường vòng;He had made a detour to a cafe;;
33;road closure;đóng cửa tuyến đường;Unfortunately, the incident has caused several road closures.;;
34;under construction;đang thi công;A building is under construction.;;
35;weather forecast;dự báo thời tiết;The national weather forecast on television was calling for light snow in Arkansas;;
36;high/low humidity;độ ẩm cao/ thấp;Low humidity causes static electricity, dry skin, lips and hair, scratchy throats and noses, and itching and chapping.;;
37;temperature;nhiệt độ;The temperature rose every day for a week.;;
38;heat wave/cold wave;đợt nóng/ đợt lạnh;We don't expect to have any more heat waves this summer.;;
39;take an umbrella;mang theo ô;I took his umbrella by mistake.;;
40;stay indoors;ở trong nhà;The couple have been forced to stay indoors and rest.;;
41;wear sunblock;chống nắng;Everyone needs to wear sunblock at all times when outside or when exposed to UV rays;;
42;You’re listening to (tên chương trình);Các bạn đang nghe chương trình…;You are listening to “Asian Music Tour”, and I’m your host, Dick Anderson.;;
43;I’m your host + tên người.;Tôi là…- người dẫn chương trình.;;;
44;interview;phỏng vấn;Candidates will be invited for an interview early next month.;;
45;give A an update on;cập nhật với A thông tin về;She expects Leo to give her an update on his plan for Fresh & Easy in April.;;
46;Stay tuned.;Đừng chuyển kênh.;Please stay tuned for traffic updates every hour on the hour.;;
47;today’s guest;khách mời hôm nay;Our today’s guest has conducted many major research projects and is currently teaching at Michigan University.;;
48;commercial break;thời gian quảng cáo;What will the listeners hear after the commercial break?;;
