Số thứ tự;Từ vựng TOEIC Part 5;Ý nghĩa;Ví dụ;;
1;Abandon;Từ bỏ;The project was abandoned due to lack of funding;;
2;Accommodate;Chứa đựng, đáp ứng;The new office space can accommodate up to 50 employees;;
3;Acknowledge;Thừa nhận, công nhận;The company acknowledged the outstanding performance;;
4;Adjust;Điều chỉnh;Please adjust the temperature of the air conditioning unit;;
5;Allocate;Phân bổ, cấp phát;The budget was allocated for various marketing activities;;
6;Amend;Sửa đổi;The contract was amended to include additional terms;;
7;Analyze;Phân tích;The financial analyst will analyze the company’s financial statements to assess its performance;;
8;Appoint;Bổ nhiệm, chỉ định;The board of directors will appoint a new CEO to lead the company;;
9;Approve;Phê duyệt;The project was approved by the management team;;
10;Assess;Đánh giá, định giá;The consultant was hired to assess the company’s financial situation;;
11;Assign;Phân công;The supervisor assigned specific tasks to each team member;;
12;Assist;Hỗ trợ;The IT department assists employees with technical issues;;
13;Attend;Tham dự;Please attend the meeting in the conference room;;
14;Attract;Thu hút;The new marketing campaign attracted many potential customers;;
15;Authorize;Ủy quyền, cho phép;The manager authorized the use of company resources for the project;;
16;Avoid;Tránh;The team tried to avoid potential risks during the project;;
17;Award;Trao giải;The company awards outstanding employees every year;;
18;Bear;Chịu đựng;He couldn’t bear the thought of leaving his family behind;;
19;Cancel;Hủy bỏ;They had to cancel the meeting and reschedule it for next week;;
20;Categorize;Phân loại;The documents should be categorized according to their topics;;
21;Cease;Ngừng, dừng lại;The company decided to cease production of the outdated product;;
22;Commence;Bắt đầu;The construction of the new building will commence next month;;
23;Compensate;Bồi thường;The company compensated the customer for the damaged goods;;
24;Comply;Tuân thủ;All employees are required to comply with the safety regulations;;
25;Conduct;Tiến hành, thực hiện;The research team conducted a survey to gather data;;
26;Confirm;Xác nhận;Please confirm your attendance at the workshop;;
27;Convene;Tổ chức, triệu tập;The committee will convene a meeting to discuss the proposal;;
28;Correspond;Tương ứng;The sales figures correspond to the projected targets;;
29;Critique;Đánh giá, phê bình;The manager critiqued the performance of the sales team;;
30;Delegate;Ủy quyền, giao phó;The manager delegated certain tasks to his assistant;;
31;Demonstrate;Chứng minh, thể hiện;The presenter demonstrated the new software’s features;;
32;Deny;Từ chối, phủ nhận;The company denied the allegations of unfair practices;;
33;Devise;Phát minh, tạo ra;The team devised a new marketing strategy;;
34;Distribute;Phân phát, phân phối;The company will distribute the new product to stores next week;;
