STT;Từ vựng;Nghĩa;Ví dụ;;
1;Account;tài khoản;We’ve reset your password to prevent others from accessing your account;;
2;Bill;hóa đơn;The bill for their meal came to $17;;
3;Cancel;hủy bỏ;The transaction has been canceled;;
4;Charge;tính phí;He charged me 2 euros for the postcard;;
5;Confirm;xác nhận;The tests confirmed the doctors’ suspicions of cancer.;;
6;Fee;phí;The admission fee is $10;;
7;No later than;không muộn hơn;I’ll be back no later than 6 o’clock.;;
8;Place an order;đặt hàng;If you place an order online, have your items shipped free to a Cabela’s location near you.;;
9;Purchase;mua;Kendall purchased an expensive car last month;;
10;Refund;hoàn tiền;We guarantee to refund your money if you’re not delighted with your purchase.;;
11;Reserve;đặt trước;You can reserve seats over the telephone;;
12;Return;trả lại;Don’t forget to return the books to the library.;;
13;Submit;nộp;Candidates interested in the position should submit their résumés to the Office of Human Resources;;
14;Verify;xác nhận;She verified her flight number.;;
15;A variety of;1 loạt;Didik mixed and combined a variety of traditional and modern elements;;
16;Additional;bổ sung thêm;The man had an additional distinction.;;
17;Affordable;phải chăng;This weapons system is an affordable, hi-tech solution.;;
18;Available;có sẵn;The articles are available at any drugstore.;;
19;Clearance sale;bán xả hàng;We bought our new carpet at a clearance sale.;;
20;Complimentary;miễn phí;His remarks were the reverse of complimentary;;
21;Consumer;người tiêu dùng;The gas is distributed to the consumer from the wells in wrought-iron pipes;;
22;Eligible;đủ điều kiện;She is eligible to be elected as the president.;;
23;Exceed;vượt quá;The cost must not exceed 10 dollars.;;
24;Bulk;số lượng lớn;We spent the bulk of the summer at the beach.;;
25;Installments;sự trả góp;The funded debt was then gradually reduced until the last installment was paid in 1903.;;
26;Invoice;hóa đơn;Payment is due within 30 days after receipt of the invoice.;;
27;Free of charge;không tốn phí;These services have always been free of charge.;;
28;Include;bao gồm;The speakers will include several experts on the subject.;;
29;Catering;dịch vụ ăn uống;The restaurant has a catering and delivery service.;;
30;Celebrate;kỷ niệm;We are celebrating my birthday by going out to dinner.;;
31;Commemorate;kỷ niệm;The festival commemorates the town’s founding.;;
32;On-site;tại chỗ;We’re meeting the builders on-site tomorrow.;;
33;Organize;tổ chức;He needs someone to help him organize his work.;;
34;Participant;tham gia;She has been an active participant in the discussion.;;
35;Present;có mặt;Kate will be present at the lecture next week;;
36;Reception;tiệc chiêu đãi;The school held a reception for the new students and their families.;;
37;Select;chọn;Let him select a route for you;;
38;Take place;diễn ra;The discussion took place in a famous villa on the lake’s shore.;;
39;Venue;địa điểm;The venue of the trial has been changed.;;
40;Proceedings;chuỗi sự kiện;The secretary kept a record of the proceedings at the meeting.;;
41;In honor of;trong sự vinh danh;They’re having dinner in honor of the new coach.;;
