Topic;STT;Từ vựng;Phiên âm;Nghĩa;;
Contracts (Hợp đồng);1;abide by (v);/əˈbaɪd baɪ/;tuân thủ, tuân theo.;Chú thích:;
;2;agreement (n);/əˈɡriː.mənt/;sự thỏa thuận\nhợp đồng (= contract);	(v) – verb: động từ;
;3;assurance (n, v);/əˈʃʊr.əns/;sự đảm bảo (n)\nđảm bảo (v);	(n) – noun: danh từ;
;4;cancellation (n);/ˌkæn.səlˈeɪ.ʃən/;sự hủy bỏ, chấm dứt (n);	(adj) – adjective: tính từ;
;5;determine (v);/dɪˈtɜːrmɪn/;xác định;	(adv) – adverb: trạng từ;
;6;engage (v);/ɪnˈɡeɪdʒ/;tham dự;;
;7;establish (v);/ɪˈstæblɪʃ/;thành lập, thiết lập;;
;8;obligate (v);/ˈɑːblɪɡeɪt/;bắt buộc;;
;9;party (n);/ˈpɑːrti/;bên (tham gia hợp đồng);;
;10;provision (n);/prəˈvɪʒ.ən/;sự cung cấp, chu cấp\nđiều khoản;;
;11;resolve (v);/rɪˈzɔːlv/;giải quyết, quyết định;;
;12;specific (adj);/spəˈsɪf.ɪk/;cụ thể;;
Marketing (Tiếp thị);13;attract (v);/əˈtrækt/;thu hút, hấp dẫn;;
;14;compare (v);/kəmˈper/;so sánh, đối chiếu;;
;15;competition (n);/ˌkɑːm.pəˈtɪʃ.ən/;"sự cạnh tranh\ncuộc thi";;
;16;consume (v);/kən’sju:m/;tiêu thụ, sử dụng;;
;17;convince (v);/kənˈvɪns/;thuyết phục;;
;18;inspiration (n);/ˌɪn.spəˈreɪ.ʃən/;nguồn cảm hứng;;
;19;market (n);/ˈmɑːrkɪt/;thị trường;;
;20;persuasion (n);/pɚˈsweɪ.ʒən/;sự thuyết phục;;
;21;productive (adj);/prəˈdʌk.tɪv/;năng suất;;
;22;satisfaction (n);/ˌsæt̬.ɪsˈfæk.ʃən/;sự hài lòng;;
;23;currently (adv);/ˈkɝː.ənt.li/;hiện thời, hiện nay;;
;24;fad (n);/fæd/;mốt nhất thời;;
